X,Y
جب ہم نے ان سے پلاؤ کھانے کی خواہش کا ذکر کیا۔,جب ہم نے ان سے پلاؤ کھانے کی خواہش کا ذکر کیا۔
وہ اپنے مخصوص انداز میں کچھ دیر ہونٹ سکوڑ کر سوچتے رہے پھر بولے۔,وہ اپنے مخصوص انداز میں کچھ دیر ہونٹ سکوڑ کر سوچتے رہے پھر بولے۔
’’یار ایک ترکیب ہے۔,’’یار ایک ترکیب ہے۔
تم کہہ رہے تھے کہ جب تمہارے ماموں موتی میاں حسن پور سے آتے ہیں تو تمہاری اماں پلاؤ ضرور بناتی ہیں۔,تم کہہ رہے تھے کہ جب تمہارے ماموں موتی میاں حسن پور سے آتے ہیں تو تمہاری اماں پلاؤ ضرور بناتی ہیں۔
‘‘ ہم نے لقمہ دیا۔,‘‘ ہم نے لقمہ دیا۔
’’یار سنو تو۔,’’یار سنو تو۔
تم تو گاؤں کے گاؤدی ہو۔,تم تو گاؤں کے گاؤدی ہو۔
ظاہر ہے کہ ان کی آمد کی خبر سن کر تمہاری امی ان کی پسند کے کھانے پکائیں گی۔,ظاہر ہے کہ ان کی آمد کی خبر سن کر تمہاری امی ان کی پسند کے کھانے پکائیں گی۔
ماموں نے تو آنا نہیں ہے۔,ماموں نے تو آنا نہیں ہے۔
کچکھ دیر انتظار کر کے گھر کے لوگ ہی وہ کھانا کھائیں گے۔,کچکھ دیر انتظار کر کے گھر کے لوگ ہی وہ کھانا کھائیں گے۔
‘‘ ہم نے خدشہ ظاہر کیا۔,‘‘ ہم نے خدشہ ظاہر کیا۔
’’اماں کچھ نہیں ہوگا۔,’’اماں کچھ نہیں ہوگا۔
کچھ دن بعد یہ بات پرانی ہوجائے گی۔,کچھ دن بعد یہ بات پرانی ہوجائے گی۔
تمہارے ماموں کون سے روز روز آتے ہیں لیکن دوست! ہمیں بھی اس موقع پر یاد رکھنا۔,تمہارے ماموں کون سے روز روز آتے ہیں لیکن دوست! ہمیں بھی اس موقع پر یاد رکھنا۔
‘‘ کباڑیا مسکرائے۔,‘‘ کباڑیا مسکرائے۔
قصہ مختصر کہ دو پیسے کا پوسٹ کارڈ خریدا گیا۔,قصہ مختصر کہ دو پیسے کا پوسٹ کارڈ خریدا گیا۔
کباڑیا کی بیٹھک میں کواڑ بند کر کے ہم نے کانپتی انگلیوں سے قلم پکڑا۔,کباڑیا کی بیٹھک میں کواڑ بند کر کے ہم نے کانپتی انگلیوں سے قلم پکڑا۔
