X,Y
 فضلو اپنے آم کے باغ میں طوطوں کو اڑانے مشغول تھا۔,فضلو اپنے آم کے باغ میں طوطوں کو اڑانےمیں مشغول تھا۔
گرمیوں کی ایک تپتی دوپہر میں جب سورج آگ برسا رہا تھی۔,گرمیوں کی ایک تپتی دوپہر میں جب سورج آگ برسا رہا تھا۔
شریر طوطے ہرے ہرے پتوں میں آم کتر رہا تھے۔,شریر طوطے ہرے ہرے پتوں میں چھپے چوری چوری آم کتر رہے تھے۔
 صرف مسجد کا آواز آ رہی تھی۔, صرف مسجد کی آواز آ رہی تھی۔
طوطوں کا غول کسی دوسرے درخت میں جا بیٹھتا۔,طوطوں کا غول کسی دوسرے درخت پر جا بیٹھتا۔
ہر طرف سناٹا تھی۔ ,ہر طرف سناٹا تھا۔
وہ کچھ دیر کے لئے جامن کے درخت کی چھاؤں پر بیٹھ گیا۔,وہ کچھ دیر کے لئے جامن کے درخت کی چھاؤں میں بیٹھ گیا۔
اور اس کے ہونٹوں سے بانسری پھسل کر گھاس پر گر گیا۔,اور اس کے ہونٹوں سے بانسری پھسل کر گھاس پر گر گئ۔
 اس کو دیکھ کر فضلو کی سٹی گم ہو گئی۔, اسے دیکھ کر فضلو کی سٹی گم ہو گئی۔
شکر تھا جناب۔,شکر ہے جناب۔
بس اللہ کا قرم ہے۔,بس اللہ کا کرم ہے۔
 دوست! ذرا جلدی کری۔, دوست! ذرا جلدی کرو۔
میں نے لنچ  کرنا ہے۔,مجھے لنچ  کرنا ہے۔
ان میں سے صفید والا لے اؤ۔,ان میں سے سفید والا لے آؤ۔
وہ سامنے دو بیل بندھا ہے۔,وہ سامنے دو بیل بندھے ہیں۔
اس کا گوشت یقیناً لذیز ہوگی۔,اس کا گوشت یقیناً لذیز ہوگا۔
اس کے بعد اس نے کچھ سوچ کر التجا کیا۔,اس کے بعد اس نے کچھ سوچ کر التجا کی۔
’’حضور! یہ بیل تو میری روٹی روزی کے سہارا ہیں۔,’’حضور! یہ بیل تو میری روٹی روزی کا سہارا ہیں۔
اس کے بغیر میں کھیتی کیسے کروں گی۔,اس کے بغیر میں کھیتی کیسے کروں گا۔
‘‘ ’’بھئی ہم کو یہ فضول باتیں مت کرو۔,‘‘ ’’بھئی ہم سے یہ فضول باتیں مت کرو۔
یہ تمہاری معاملہ ہے۔,یہ تمہارا معاملہ ہے۔
جلدی بیل کا نہلا کر لاؤ۔,جلدی بیل نہلا کر لاؤ۔
جو ہکم سرکار۔,جو حکم سرکار۔
لیکن آپ یقین کریں کہ اس بوڑھے بیل کو مقابلے میں میری گائے کا گوشت بہت نرم اور لذیز ہوگا۔,لیکن آپ یقین کریں کہ اس بوڑھے بیل کے مقابلے میں میری گائے کا گوشت بہت نرم اور لذیز ہوگا۔
اگر آپ کہیں تو میں گھر سے گائے کھول کے لاؤں۔,اگر آپ کہیں تو میں گھر سے گائے کھول لاؤں۔
‘‘ فضلو نے کانپتے ہوئ کہا۔,‘‘ فضلو نے کانپتے ہوئے کہا۔
’’اچھا تو پھر دوڑتا ہوی جا اور فٹافٹ آ۔,’’اچھا تو پھر دوڑتا ہوا جا اور فٹافٹ آ۔
سوچ لے اگر دیر ہوئی تو میں تیرے دونوں بیلوں کو ہڑپ کر جاؤں گی۔,سوچ لے اگر دیر ہوئی تو میں تیرے دونوں بیلوں کو ہڑپ کر جاؤں گا۔
فضلو سے اس کی گہری دوستی بھی تھا۔,فضلو سے اس کی گہری دوستی بھی تھی۔
فضلو سیدھا اپنے دوست شرفو درزی کے پاس گیٔ۔,فضلو سیدھا اپنے دوست شرفو درزی کے پاس گیا۔
شرفو بہت ذہین تھی۔,شرفو بہت ذہین تھا۔
فضلو نے اپنے دوست کو پوری کہانی سناتے ہوئے تجویز مانگی کہ کیسے بھوکے چیتے سے پیچھا چھڑایا جائے۔,فضلو نے اپنے دوست کو پوری کہانی سناتے ہوئے تجویز مانگی کہ کیسے بھوکے چیتے سے پیچھا چھڑایا جائے۔
شرفو پھر بول۔,شرفو پھر بولا۔
ٹھیک ھے دوست۔,ٹھیک ہے دوست۔
تم فکر نا کری میں کچھ بندوبست کرتا ہوں۔,تم فکر نا کرو میں کچھ بندوبست کرتا ہوں۔
شرفو نے الماری پر سے سفید لٹھے کے دو تان نکالے۔,شرفو نے الماری میں سے سفید لٹھے کے دو تان نکالے۔
یہ بانس رسی سے اچھی طرح اپنی پیروں میں باندھ لی۔,یہ بانس رسی سے اچھی طرح اپنے پیروں میں باندھ لے۔
اس کے بعد اس نے اپنے چھپر سے دو بانس نکالی۔,اس کے بعد اس نے اپنے چھپر سے دو بانس نکالے۔
شرفو اس کے سامنے بونا لگ رہی تھا۔,شرفو اس کے سامنے بونا لگ رہا تھا۔
فضلو دیوار کی سہار لے کر کھڑا ہوا۔,فضلو دیوار کا سہار لے کر کھڑا ہوا۔
فضلو لیٹ کر دروازے سی نکلا اور باغ کی طرف چل دیا۔,فضلو لیٹ کر دروازے سے نکلا اور باغ کی طرف چل دیا۔
رستے میں لوگ حیرت سے اس کو مڑ مڑ کر دیکھ رہے تھے۔,راستے میں لوگ حیرت سے اس کو مڑ مڑ کر دیکھ رہے تھے۔
’’ارے مجھے بھوک لگ رہے ہے۔,’’ارے مجھے بھوک لگ رہی ہے۔
بہت دن ہو گیا کسی چیتے کا گوشت نہیں کھایا۔,بہت دن ہو گئے کسی چیتے کا گوشت نہیں کھایا۔
دو دن پہلے ایک شیر کھائ تھی لیکن مزہ نہیں آیا۔,دو دن پہلے ایک شیر کھایا تھا لیکن مزہ نہیں آیا۔
گیدڑ درخت کی نیچے چھپا یہ سارا ماجرا دیکھ رہا تھا۔,گیدڑ درخت کے نیچے چھپا یہ سارا ماجرا دیکھ رہا تھا۔
چیتے کو دم دبا کر بھاگتی دیکھ کر اس نے چیتے کو روک کر کہا۔,چیتے کو دم دبا کر بھاگتا دیکھ کر اس نے چیتے کو روک کر کہا۔
’’حضور آپ کہاں بھاگے جا رہا ہیں۔,’’حضور آپ کہاں بھاگے جا رہے ہیں۔
فضلو نے آپ کو بےوقوف بنایی ہے۔,فضلو نے آپ کو بےوقوف بنایا ہے۔
یہ بھوت نہیں فضلو کا دوست شرفو درزی۔,یہ بھوت نہیں فضلو کا دوست شرفو درزی ہے۔
اس نے آپ کو ڈرانے کے لئے بھیس بدلی ہے۔,اس نے آپ کو ڈرانے کے لئے بھیس بدلا ہے۔
مجھ کو معلوم ہے تو جھوٹا ہے۔,مجھے معلوم ہے تو جھوٹا ہے۔
تو مجھے اس بھوت کی حوالے کر کے چمپت ہو جائےگا۔,تو مجھے اس بھوت کے حوالے کر کے چمپت ہو جائےگا۔
حضور! آپ مجھ کو جھوٹا سمجھتے ہیں؟,حضور! آپ مجھے جھوٹا سمجھتے ہیں؟
 اور اس نے اپنی دم گیدڑ جھگڑالو کا دم سے باندھ لی اور واپس باغ کا رخ کیا۔, اور اس نے اپنی دم گیدڑ جھگڑالو کی دم سے باندھ لی اور واپس باغ کا رخ کیا۔
یہ سن کر چیتے کو اطمینان ہوئ۔,یہ سن کر چیتے کو اطمینان ہوا۔
 اور زور سے اس پر ہاتھ مارہ۔, اور زور سے اس پر ہاتھ مارا۔
شرفو جلدی سے نیم کی درخت کی نزدیک گیا۔,شرفو جلدی سے نیم کے درخت کے نزدیک گیا۔
شہد کی مکھیاں اس کے چہرے پر ہاتھ مارا۔,شہد کی مکھیوں نے اس کے چہرے پر ہاتھ مارا۔
 اور ڈنک مارنے شروع کر دی۔, اور ڈنک مارنے شروع کر دیئے۔
شہد کی مکھیاں اس کی چہرے پر لپٹ گئی۔,شہد کی مکھیاں اس کے چہرے پر لپٹ گیٔں۔
