X,Y
ایک دم چلے جاؤ‎,فوراً چلے جاؤ
غصّہ سے اس کا چہرہ سرخ ہوگيا,غصّے سے اس کا چہرہ سرخ ہوگيا
اس کا حساب بے باک کردیا گیا,اس کا حساب بے باق کردیا گیا
اس نے گھر جانا ہے,اسے گھر جانا ہے
امی ابو گھر پر نہیں ہے,امی ابو گھر پر نہیں ہیں
آپ میرے گھر تشریف لاؤ,آپ میرے گھر تشریف لے آؤ
اسے کرکٹ کھیلنا نہیں آتی,اسے کرکٹ کھیلنا نہیں آتا
وہ امتحان میں فعل ہو گیا,وہ امتحان میں فیل ہو گیا
وہ عورت بڑی لڑاکی ہے,وہ عورت بڑی لڑاکا ہے
اس نے مجھ سے بے کلامی کی,اس نے مجھ سے بد کلامی کی
وہ لڑکا بہت بے پرواہ ہے,وہ لڑکا بہت لا پرواہ ہے
اس نے مجھ کو گالی دی,اس نے مجھے گالی دی
اس نے راولپنڈی جانا ہے,اسے راولپنڈی جانا ہے
اسے دو گھنٹے كے بعد ہوش آیا,اسے دو گھنٹے بعد ہوش آیا
اس کی بِیوِی سخت لڑاکی ہے,اس کی بِیوِی سخت لڑکا ہے
میں نے فرحان دیکھا,میں نے فرحان کو دیکھا
بارش برس رہی ہے,بارش ہو رہی ہے
بارش كے بعد ہر جگہ کیچڑ ہو گیا,بارش كے بعد ہر جگہ کیچڑ ہوگئی
بیٹے ! کچھ دیر کیلئے رک جاؤ,بیٹا ! کچھ دیر کیلئے رک جاؤ
طارق نے اخبار خریدی,طارق نے اخبار خریدا
تیز چلو ! مباداح گاڑی چھوٹ نہ جائے,تیز چلو ! مباداح گاڑی چھوٹ جائے
ساتھ ساتھ ہو کر بیٹھے,پاس پاس ہو کر بیٹھے
شیر دیکھ کر اس پر خوف طاری ہو گیا,شیر کو دیکھ کر اس پر خوف طاری ہو گیا
میں نے سنگ مرمر کا پتھر دیکھا,میں نے سنگ مرمر دیکھا
فوج نے حملے کیے,فوج نے حملے کیا
بھوکے کو كھانا کھلانا کار ثواب کا کام ہے,بھوکے کو كھانا کھلانا کار ثواب ہے
اس نے میرے برخلااف گواہی دی,اس نے میرے خلااف گواہی دی
چوروں کو دیکھ کر پولیس اور چُکی ہوگئی,چوروں کو دیکھ کر پولیس اور چوکنا ہوگئی
آپ پشاور سے واپس کب تک لوٹ آئیں گے ؟,آپ پشاور سے کب تک لوٹ آئیں گے ؟
ہمسائی کی چینخ و پکار سے ہم جاگ پرے,ہمسائی کی چینخ و پکار سے ہم جاگ اٹھے
جماعت کراچی چلے گئے,جماعت کراچی چلے گئی
سعد ادریس دونوں آگیا,سعد ادریس دونوں آگئے
10 جگ ، 5 پلیٹ اور اک گلاس ٹوٹ گئے,10 جگ ، 5 پلیٹ اور اک گلاس ٹوٹ گیا
اک گلاس ، 5 پلیٹ اور 10 جگ ٹوٹ گیا,اک گلاس ، 5 پلیٹ اور 10 جگ ٹوٹ گئے
عورتوں نے کہا ہم آتی ہیں,عورتوں نے کہا ہم آتے ہیں
اسامہ آیا اور چلا گیا,اسامہ آیا اور وہ چلا گیا
شائستہ نے کتاب پڑھی اور سو گئی,شائستہ نے کتاب پڑھی اور وہ سو گئی
آپ کو یہ کس نے کہا ہے ؟,آپ سے یہ کس نے کہا ہے ؟
مدثر نے خط کو لکھا,مدثر نے خط لکھا
تم نے لاہور جانا ہے,تمہیں لاہور جانا ہے
دِل نے چاہا تو ضرور آؤں گا,دِل چاہا تو ضرور آؤں گا
پانچویں لڑکی چلی گئیں,پانچویں لڑکی چلی گئی
وہ دن با دن کمزور ہو رہا ہے,وہ روز با روز کمزور ہو رہا ہے
ڈاکو برے لوگ ہے,ڈاکو برے لوگ ہیں
سرخ سیاہی سے مت لکھو,سرخ روشنائی سے مت لکھو
میں نے کتاب پڑھنا ہے,مجھے کتاب پڑھنی ہے
فی الواقای وہ سچا ہے,فی الواقع وہ سچا ہے
مجھے اِس دوائی سے آرام ہے,مجھے اِس دوا سے آرام ہے
برائے مہربانی خط کا جواب دیں,براہ مہربانی خط کا جواب دیں
طبیعت نے چاہی تو چلا جاؤں گا,طبیعت چاہی تو چلا جاؤں گا
جی نے چاہا تو آؤں گا,جی چاہا تو آؤں گا
آپ مری سے کب واپس لوٹیں گے,آپ مری سے کب لوٹیں گے
آپ کہاں جا رہے ہو,آپ کہاں جا رہے ہیں
اس کی حالت پچھلے سے بہتر ہے,اس کی حالت پہلے سے بہتر ہے
میرے استاد بڑے قابل ہیں,میرے استاد بڑے قابل ہیں
ماہ رمضان کا مہینہ بھی بٹ گیا,ماہ رمضان کا بھی بیٹ گیا
میرا ڈرائنگ روم کا کمرا بڑا ہے,میرا ڈرائنگ روم بڑا ہے
آج کی اخبار کہاں ہے,آج کا اخبار کہاں ہے
میں نے آج دہی کھائی ہے,میں نے آج دہی کھایا ہے
افضل آئے روز بیمار رہتا ہے,افضل آئے دن بیمار رہتا ہے
کمرے میں تِین لڑکیاں اور لڑکا تھے,کمرے میں تِین لڑکیاں اور لڑکا تھا
آپ کی بات سن کر مجھے حیرانگی ہوئی,آپ کی بات سن کر مجھے حیرانی ہوئی
کبیر اور صغیر دونوں بھائی ہیں,کبیر اور صغیر بھائی ہیں
ہم سب بخیریت سے ہیں,ہم سب بخیریت ہیں
آج کل 1000 روپے سے بمشکل سے گزارا ہوتا ہے,آج کل 1000 روپے سے بمشکل گزارا ہوتا ہے
کراچی سے لے کر پشاور تک ریلوے لائن ہے,کراچی سے پشاور تک ریلوے لائن ہے
یہاں پر ہر امراض کا علاج ہوتا ہے,یہاں پر ہر مرض کا علاج ہوتا ہے
علامہ اقبال كے شیر میں کوئی نا کوئی نقطہ ہوتا ہے,علامہ اقبال كے شیر میں کوئی نا کوئی نقطہ ہوتا ہے
صغیر نے کبیر کو تھپڑ مارا,صغیر نے کبیر کو تھپڑ مارا
مجھے بندی نہیں ملا,مجھے بندی نہیں ملی
اپ نے کیا ادھم مچا رکھا ہے,آپ نے یہ کیا ادھم مچا رکھی ہے
میں نے ان کے احکامات پر عمل کیا,میں نے ان كے احکام پر عمل کیا
شور نہ ڈالو,شور نہ کرو
میری قلم کس کے پاس ہے,میرا قلم کس كے پاس ہے
اسلام اباد پاکستان کا دارالخلافہ ہے,اسلام آباد پاکستان کا دارلحکومت ہے
میں تمہیں اپنا قصہ سنانے لگا ہوں,میں تمہیں اپنا قصہ سنانے جا رہا ہو
امجد نے کراچی جانا ہے,امجد کو کراچی جانا ہے
اس کی صورت دیکھ کر ڈر اتا ہے,اس کی صورت دیکھ کر ڈر لگتا ہے
یہ خبر سن کر میرے بدن پر رونگٹے کھڑے ہو گئے,یہ خبر سن کر میرے بدن كے رونگٹے کھڑے ہوگئے
اس مہنگائی میں غریب بیچارے فاقے مر رہے ہیں,اِس مہنگائی میں غریب بیچارے فاقون مر رہے ہیں
امجد اسلم اور خرم ایا,امجد اسلم اور خرم آئے
دوڑ دوڑ کر عابد کا سانس پھول گیا,دوڑ دوڑ کر امجد اور عابد کی سانس پھول گئی
لکڑی کی ہنڈیا بار بار نہیں چڑھتی,کاٹھ کی ہندیہ بار بار نہیں چڑھتی
نوید چھت کے اوپر کھیل رہا ہے,نوید چھت پر کھیل رہا تھا
یہ عورت تو افت کی پر کالا ہے,یہ عورت تو آفت کا پرکالہ ہے
مجھ کو کتاب پڑھنا ہے,مجھے کتاب پڑھنی ہے
مجھے ہتھیلی پر سرسوں لگانا نہیں اتا,مجھے ہتھیلی پر سرسوں جمانے نہیں آتا
مرض بڑھتی گئی جوں جوں دوا کی,مرض بڑھتا گیا جون جون دوا کی
میں تمہاری ساری کرتوتیں جانتا ہوں,میں تمہارے سارے کرتوت جانتا ہوں
کراچی سے تار ائی ہے,کراچی سے تار آیا ہے
اپ کا مزاج کیسا ہے,آپ كے مزاج کیسے ہیں
ضد کرنی بری بات ہے,ضد کرنا بری بات ہے
وہ صحیح و سلامت گھر پہنچ گیا,وہ صحیح سلامت گھر پہنچ گیا
وہ بہت لاپرواہ ہے,وہ بہت لاپروا ہے
ہم کو حج کرنا ہے,ہمیں حج کرنا ہے
گالی نکالنا بری بات ہے,گالی دینا بری بات ہے
میں نے دو ٹکٹیں خریدی,میں نے دو ٹکٹ خریدے
احمد نے حامد کو اڑے ہاتھوں لیا,احمد نے حامد کو اڑے ہاتھ لگایا
عثمان نے شاگرد پڑھایا,عثمان نے شاگرد کو پڑھایا
بی بی بچے آگئیں۔,بی بی بچے آگئے۔
علم د نیک چینی انسان کا درجہ بڑھا دیتی ہے۔,علم و نیک چانی انسان کا درجہ بڑھا دیتے تک۔
ایسی باتوں سے رعب ووقار جاتے رہتے ہیں۔,ایسی باتوں سے رعب و قار جاتا رہتا ہے۔
اس سے کم ہمتی اور بزدلی پیدا ہوتے ہیں۔,اس سے کم ہمتی اور بزدلی پیدا ہوتی ہے۔
ماں بیٹا دونوں چلی گئی۔,ماں بیٹا دونوں چلے گئے۔
اس کا مال و اسباب، جاگیر ، مکانات سب کچھ بک گئے۔,اس کا مال و اسباب، جاگیر ، مکانات سب کچھ ہک گیا۔
اس کے مال واسباب ، مکان را می بک گئے۔,اس کا مال و اسباب، مکان ، زمین سب بک گئی۔
یہ قلم دوات اور کتا ہیں میری ساری پونجی ہے۔,یہ قلم دوات اور کتابیں میری ساری پور بھی ہیں۔
قلم دوات رکھے ہیں۔,قلم دوات رکھی ہے۔
میاں بیوی جنسی خوشی بسر کرتی ہے۔,میاں بیوی جنسی خوشی بسر کرتے ہیں۔
اس کا مال و اسباب و جاگیر ، مکانات سب بک گیا۔,اس کا مال و اسباب ، جاگیر ، مکانات سب ہک گئے۔
فوج جارہا ہے۔,فوج جارہی ہے۔
ماموں بھانجالڑ پڑا۔,ماموں بھا نجالڑ پڑے۔
