nohup: ignoring input
INFO:__main__:processing dump: urwiki-20230801-pages-meta-history.xml
INFO:__main__:processing dump file: urwiki-20230801-pages-meta-history.xml
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 0
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 5000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 10000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 15000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 20000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 25000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 30000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 35000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 40000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 45000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 50000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 55000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 60000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 65000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 70000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 75000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 80000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 85000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 90000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 95000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 100000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 105000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 110000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 115000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 120000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 125000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 130000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 135000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 140000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 145000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 150000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 155000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 160000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 165000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 170000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 175000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 180000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 185000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 190000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 195000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 200000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 205000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 210000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 215000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 220000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 225000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 230000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 235000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 240000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 245000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 250000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 255000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 260000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 265000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 270000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 275000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 280000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 285000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 290000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 295000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 300000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 305000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 310000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 315000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 320000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 325000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 330000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 335000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 340000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 345000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 350000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 355000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 360000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 365000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 370000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 375000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 380000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 385000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 390000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 395000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 400000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 405000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 410000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 415000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 420000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 425000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 430000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 435000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 440000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 445000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 450000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 455000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 460000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 465000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 470000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 475000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 480000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 485000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 490000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 495000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 500000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 505000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 510000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 515000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 520000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 525000
